title,first_name,last_name
"ACADEMY DINOSAUR",PENELOPE,GUINESS
"ANACONDA CONFESSIONS",PENELOPE,GUINESS
"ANGELS LIFE",PENELOPE,GUINESS
"BULWORTH COMMANDMENTS",PENELOPE,GUINESS
"CHEAPER CLYDE",PENELOPE,GUINESS
"COLOR PHILADELPHIA",PENELOPE,GUINESS
"ELEPHANT TROJAN",PENELOPE,GUINESS
"GLEAMING JAWBREAKER",PENELOPE,GUINESS
"HUMAN GRAFFITI",PENELOPE,GUINESS
"KING EVOLUTION",PENELOPE,GUINESS
"LADY STAGE",PENELOPE,GUINESS
"LANGUAGE COWBOY",PENELOPE,GUINESS
"MULHOLLAND BEAST",PENELOPE,GUINESS
"OKLAHOMA JUMANJI",PENELOPE,GUINESS
"RULES HUMAN",PENELOPE,GUINESS
"SPLASH GUMP",PENELOPE,GUINESS
"VERTIGO NORTHWEST",PENELOPE,GUINESS
"WESTWARD SEABISCUIT",PENELOPE,GUINESS
"WIZARD COLDBLOODED",PENELOPE,GUINESS
"ADAPTATION HOLES",NICK,WAHLBERG
"APACHE DIVINE",NICK,WAHLBERG
"BABY HALL",NICK,WAHLBERG
"BULL SHAWSHANK",NICK,WAHLBERG
"CHAINSAW UPTOWN",NICK,WAHLBERG
"CHISUM BEHAVIOR",NICK,WAHLBERG
"DESTINY SATURDAY",NICK,WAHLBERG
"DRACULA CRYSTAL",NICK,WAHLBERG
"FIGHT JAWBREAKER",NICK,WAHLBERG
"FLASH WARS",NICK,WAHLBERG
"GILBERT PELICAN",NICK,WAHLBERG
"GOODFELLAS SALUTE",NICK,WAHLBERG
"HAPPINESS UNITED",NICK,WAHLBERG
"INDIAN LOVE",NICK,WAHLBERG
"JEKYLL FROGMEN",NICK,WAHLBERG
"JERSEY SASSY",NICK,WAHLBERG
"LIAISONS SWEET",NICK,WAHLBERG
"LUCKY FLYING",NICK,WAHLBERG
"MAGUIRE APACHE",NICK,WAHLBERG
"MALLRATS UNITED",NICK,WAHLBERG
"MASK PEACH",NICK,WAHLBERG
"ROOF CHAMPION",NICK,WAHLBERG
"RUSHMORE MERMAID",NICK,WAHLBERG
"SMILE EARRING",NICK,WAHLBERG
"WARDROBE PHANTOM",NICK,WAHLBERG
"ALONE TRIP",ED,CHASE
"ARMY FLINTSTONES",ED,CHASE
"ARTIST COLDBLOODED",ED,CHASE
"BOONDOCK BALLROOM",ED,CHASE
"CADDYSHACK JEDI",ED,CHASE
"COWBOY DOOM",ED,CHASE
"EVE RESURRECTION",ED,CHASE
"FORREST SONS",ED,CHASE
